lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
37.5,36.5,Louisiana-Monroe,Alabama,24,,,,42.49,,27.06,28.193,25.89,20.922,36.7,37.4,37.7,33.2,,38.07,16.5,,28.5,35.7,34.05,35.53,32.89,38.46,40.44,35,26.5942,29.47,,,31,0,34.68,29.46,16.953044359,,26.5,36.7114,,,,,,34.2,,,40.1205,14,35.22,,38.25,31.91,32.114064981,6.4940709349,34.05,0.4262317313,0.9689826058,36.5
21.5,23.5,Arkansas St.,Arkansas,10,,,,35.75,,14.93,18.042,19.11,18.298,34.3,30.2,32.7,18.6,,22.25,10,,13.7,18,19.9,20.17,19.47,22.46,20.06,23,15.9935,19.9,,,13,0,17.74,24.44,15.66374459,,14.98,18.3599,,,,,,25.7,,,25.0355,4,18.29,,18.87,28.31,20.521898321,6.3143911528,19.11,0.4496514175,0.8843706893,23
43.5,42.5,Ball St.,Auburn,21,,,,41.7,,37.69,31.178,31.48,28.394,47.7,46.2,48.8,30,,33.87,15.5,,30,38.3,41.01,39.73,41.32,47.78,39.8,44,34.8357,38.49,,,46,0,19.98,34.68,28.342548418,,30.21,38.2604,,,,,,48.3,,,33.866,3,39.79,41.05,25.38,39.51,36.298430836,8.4103934088,38.2802,0.3987972585,0.9780108158,42
18.5,20.5,Stanford,BYU,20.5,,,,23.5,,18.13,24.744,23.79,22.926,18.8,17.1,18.7,20.3,,20.13,24.5,,15,19.1,12.34,11.79,12.1,14.59,23.09,19,15.9585,31.47,,,27,0,24.6,22.86,20.978954953,,20.59,22.2802,,,,,,24.8,,,25.5605,7,21.91,,18.86,30.31,20.827519847,4.7525838996,20.59,0.5056404418,0.8947766751,20.5
-19,-13.5,North Carolina,Charlotte,-14.5,,,,-12.47,,-14.19,-15.503,-13.52,-8.783,-16.3,-17.3,-18.4,-12.2,,-16.59,1.5,,-15.5,-16.4,-20.62,-20.31,-20.28,-25,-17.79,-20,-5.2922,-10.38,,,-21,0,-12.46,-18.37,-4.334205333,,-11.25,-16.7563,,,,,,-15.5,,,-16.527,-7,-11.72,-9.548,-16.67,-22.49,-14.89569722,5.4330545262,-15.9015,0.4761309616,0.1881732795,-13.5
18,21.5,Bowling Green,Cincinnati,2,,,,26.28,,19.26,19.561,15,15.38,26.3,23.4,24.2,15.9,,18.37,2,,16.5,17.7,14.83,15.61,12.99,17.74,18.07,5,14.1701,16.57,,,25,0,3.54,12.2,10.342046641,,11.34,11.2784,,,,,,23.3,,,18.942,4,15.41,,17.47,21.11,15.962531716,6.4202519762,16.5,0.4071020606,0.8235629061,20.5
32,33.5,Troy St.,Clemson,11,,,,43.82,,35.62,29.649,20.86,31.607,38.9,36.6,38.4,25,,22.93,23,,25.5,32.7,28.12,29.31,26.85,31.97,27.58,27,19.3942,27.05,,,32,0,10.07,14.39,17.913000943,,16.64,17.4588,,,,,,35.1,,,32.522,6,24.82,,19.55,37.11,26.982848513,8.3175799688,27.05,0.3936298707,0.9333148124,33
23.5,24,Delaware,Colorado,20.5,,,,36.33,,15.53,26.66,24.79,30.816,35.8,31.8,35.2,25.2,,30.3,15,,22.5,20.8,20.41,21.69,18.4,23.82,33.16,28,21.1643,39.05,,,25,0,-2.48,,13.255631796,,22.09,29.9537,,,,,,20.1,,,29.743,3,21.68,,18.34,33.91,24.641019744,8.350736667,24.305,0.5105833395,0.9145794405,24
-2.5,-3,Illinois,Duke,1.5,,,,-10.44,,-5.54,-5.139,-1.52,4.915,-9.3,-7.7,-8.6,-4.2,,-3.43,3.5,,-3.6,-4.8,-0.24,-0.07,0.43,-1.79,-1.94,-8,0.1945,-5.05,,,-3,0,1.49,-4.11,-3.155017513,,0.34,-2.1866,,,,,,-7.8,,,-4.361,-1,-4.26,,-1.33,-6.89,-3.214609622,3.7003376395,-3.43,0.4962729735,0.4221186961,-3
18.5,18,South Florida,Florida,13,,,,28.75,,7.04,11.053,18.88,17.309,25.1,22.7,23.7,16.7,,20.48,7,,16,15.1,22.16,22.81,21.83,24.51,18.93,16,11.0103,17.22,,,13,0,12.55,16.37,12.461313428,,7.48,16.3318,,,,,,18.9,,,26.663,6,18.83,,20,17.91,17.508436771,5.5405535311,17.309,0.4915980603,0.8502859754,18
