lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
2,2.5,Arkansas St.,Appalachian St.,3,,0.89,3,1.95,-3.42,3.621,1.78,-0.307,-1.8,-2.3,-1.4,0.01,1.93,4.72,0.01,3.354406,3.3,,-0.32,-0.28,1.57,-2.98,0.35,4,-0.4914,1.23,,,-1.34,0,1.866624218,4.96,-3.03,-0.140059189,,1.63,3.8505,0.245332387,,,,-1.575,0.8,-0.724482246,3.15,-3,-0.04,-2.311,3.97,-0.76,,,0.7744229218,2.3144845297,0.575,0.4698215679,0.51917662,2.5
-1,-1.5,Arizona,Arizona St.,4,,-0.41,-1.5,0.08,7.21,5.723,1,4.053,7,5.6,7,-2.8,1.19,2.15,15.5,0.2933693,2.5,,3.8,3.08,6.47,1.62,-3.13,-5,0.3732,-2.31,,,1.11,0,-0.388622923,-3.83,-2.58,1.770465946,,-1.35,1.3406,1.741524278,,,,0.725,0.4,0.8021870804,3.15,-3,0.1,-2.831,1.17,1.22,,,1.7105003243,3.8786268883,1.18,0.555504552,0.5415274437,-1
-2,-3,Missouri,Arkansas,-5.5,,-4.63,-3,-3.06,-6.08,-7.215,-5.74,-11.791,-5.1,-4.7,-5.2,-6.7,-6.61,-3.06,-3.5,-3.753174,-3.3,,-3.77,-2.03,-6.56,-2.79,-5.38,-12,-3.1782,-4.25,,,-3.18,0,-2.723201627,-15.82,-6.15,-3.264011756,,-3.72,-3.3294,-3.78630202,,,,-10.55,-3.1,-3.903126319,-12.95,-11,-8.46,-5.451,-3.26,-4.39,,,-5.585394405,3.1969060911,-4.665,0.4550470873,0.3655683033,-3
-5.5,-5.5,Alabama,Auburn,-10.5,,-8,-5.5,-3.58,-7.27,-11.187,-9.78,-9.843,-10.3,-10.1,-10.6,-9.1,-6.47,-11.04,-5,-7.027548,-8.1,,-4.75,-3.91,-8.56,-2.26,-7.88,-9,-6.4568,-4.86,,,-6.35,0,-8.065638346,-15.53,-6.27,-4.961096595,,-5.1,-11.0066,-14.24417846,,,,-9.525,-9.4,-3.214675602,-7.7,-11,-4.5,-9.291,-10.08,-3.4,,,-7.809307446,2.78780559,-8.032819173,0.4597364377,0.3146647437,-6
18,17.5,Central Florida,BYU,25.5,,22.62,17.5,22.74,25.29,19.893,19.77,25.27,16.1,16.4,16.8,22.2,16.4,17.72,13,24.63477,23.5,,20.78,18,21.45,25.38,24.07,11,21.1287,24.3,,,19.3,0,25.583952851,28.62,19.52,25.056216982,,19.96,20.055,33.666049916,,,,8.925,19.3,5.0208324264,28,13,27.09,25.513,19.54,24.98,,,21.194464206,4.5557948965,21.28935,0.5634657841,0.8994886638,18.5
3,2.5,Houston,Baylor,-3.5,,0.03,2.5,1.52,7.22,1.225,0.5,0.754,5.2,4.5,4.6,2.6,-2.7,3.41,11.5,0.9281006,-2,,2.39,2.67,1.14,3.22,-0.22,-1,1.7546,-0.85,,,2.54,0,2.345799323,-8.26,3.05,2.534998804,,-0.09,3.7021,3.2071991539,,,,2.65,3.8,-0.76082474,-4.9,-7,3.72,6.277,2.67,-4.39,,,1.5931999665,3.5560718027,2.3678996615,0.4842402494,0.5388619431,2.5
-5.5,-7,Ohio,Buffalo,-4,,-9.33,-7,-6.51,-1.94,-3.795,-7.67,-5.219,-8.2,-8.6,-9.6,-9.6,-7.28,-9.29,-3,-5.919853,-3.5,,-7.11,-6.69,-6.87,-9.22,-10.17,-12,-6.6713,-8.94,,,-8.29,0,-10.2257206,-4.76,-6.46,-8.705887578,,-7.93,-8.844,-18.26783769,,,,-9.425,-6.4,-1.541957942,-9.8,-6,-13.34,-11.105,-6.81,-8.35,,,-7.672914768,2.4971958124,-8.065,0.4882318842,0.3171660894,-7
-11.5,-13.5,SMU,California,-8.5,,-14.64,-13.5,-19.91,-18.04,-5.314,-11.28,-6.747,-5.2,-16.9,-17.3,-15.1,-8.81,-11.97,-11,-22.31681,-17.5,,-15.01,-15.15,-13.43,-19.21,-17.13,-20,-12.7097,-17.21,,,-15.84,0,-16.75910152,-15.9,-16.94,-14.24018884,,-11.69,-12.7416,-15.8893347,,,,-15.475,-15.6,-1.265476908,-17.5,-10,-20.36,-21.608,-15.06,-0.1,,,-14.47872106,4.8085936377,-15.3125,0.4831576291,0.1922186231,-13.5
-9.5,-10,Toledo,Central Mich.,0.01,,-8.8,-10,-13.97,-9.77,-0.596,-10.38,-6.132,-9.4,-9.6,-9.8,-12.8,-3.05,-9.89,-10,-12.04435,-7.5,,-7.38,-10.54,-5.31,-7.74,-15.27,-12,-9.3695,-12.56,,,-10.27,0,-12.50117251,-11.69,-8.85,-2.935445398,,-9.73,-11.2583,2.9547933222,,,,-18.95,-12.3,-0.090395459,-5.6,-9,-2.28,-6.736,-9.08,-1.42,,,-8.881651787,4.1097601171,-9.665,0.5193559411,0.2947256543,-10
-21.5,-22,James Madison,Coastal Carolina,-16,,-18.68,-22,-28.2,-20.02,-15.075,-17.24,-20.046,-17.1,-18.8,-19.3,-23.3,-8.96,-16.22,-9,-26.84005,-24,,-16.3,-17.89,-14.1,-19.41,-24.1,-27,-17.7201,-23.59,,,-17.18,0,-22.89585855,-23.88,-20.07,-9.862096725,,-16.05,-20.4055,-20.22344188,,,,-35.675,-20.1,-1.997895414,-24.5,-19,-16.98,-17.473,-16.53,-20.23,,,-19.49270014,5.2735149392,-19.05,0.5428897639,0.122787459,-21.5
