lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
-6,-8,Central Mich.,Akron,-9,,,,-2.4,,-7.1,-8.784,-4,-10.041,-4.1,-5.3,-5.2,-4.6,-6.4,-3.52,1,-7.5,-3.7,,-2.46,-1.34,-3.16,-4.54,-1.21,-3,-2.4116,2.05,,,-6,0,-5.4,-7.18,-2.44228882,,0.37,-7.2896,,,,,-8.45,-5.7,,,-6.3,-9,-3.66,-5.165,-7.08,-4.91,-4.608985801,2.8110532619,-4.755,0.5590000985,0.3878997008,-7.5
13.5,10.5,Vanderbilt,Alabama,12.5,,,,5.51,,6.29,7.223,11.4,-5.292,7.5,9.6,8.5,12.8,-5.29,18.35,9.5,1.2,11.2,,12.28,12.88,9.39,17.17,10.14,8,6.8989,7.22,,,6,0,7.11,-2.46,-7.093006641,,7.64,10.522,,,,,15.82,13.7,,,3.85,-3,15.56,2.322,16.96,-4.62,7.7855803711,6.5639441621,8.25,0.4542206434,0.6742575436,10.5
1,1.5,Oregon St.,Appalachian St.,10.5,,,,-6.7,,-8.92,-4.462,-4.48,16.757,-0.2,-1.8,-0.8,-0.9,5.55,-4.4,8.5,5.6,-1.5,,-0.07,-2.96,5.63,-4.72,-10.75,-10,-0.0226,1.33,,,,0,13.07,-3.55,-0.028888794,,-4.33,-0.7645,,,,,-4.575,-6.4,,,-0.7,5,0.94,-5.049,-3.73,-1.14,-0.716428251,6.1478733631,-1.14,0.4624136368,0.483273097,1
20,20.5,Oklahoma St.,Arizona,15,,,,23.54,,19.77,14.831,20.23,23.632,13.7,14.1,14.4,10.3,16.97,9.17,7,38.9,17,,17.51,17.62,18.93,18.35,29.27,33,16.6296,19.25,,,18,0,37.21,15.34,20.423832159,,25.62,18.2911,,,,,43.4,20.4,,,30.1,24,14.73,22.445,15.11,25.25,20.428403671,8.1182274801,18.32055,0.4988138994,0.8733043558,20.5
-10.5,-13.5,Texas St.,Arkansas St.,-11,,,,-15.2,,-3.13,-8.053,-10.93,-18.544,-9.5,-10,-11.7,-11.8,-8.65,-10.81,-10.5,-25.4,-11.5,,-10.04,-9.65,-11.48,-11.98,-14.63,-18,-9.2639,-15.6,,,-12,0,-20.37,-5.91,-9.323965315,,-9.64,-13.5979,,,,,0.75,-11.6,,,-17.15,-14,-12.05,-14.805,-8.14,-14.19,-11.81632681,4.6768944795,-11.49,0.5289903874,0.2384112151,-13
18.5,19,West Va.,BYU,19.5,23.58,,,30.04,,23.86,11.765,23.19,28.957,16.9,16.1,16.8,19.7,17.12,16.66,16.5,23.9,23.5,,18.08,16.59,19.66,20.88,33.49,30,23.6238,26.56,,,21,0,30.69,23.33,21.524469449,,25.3,23.0151,,,,,22.55,20.9,,,30.1,21,22.03,23.316,18.61,24.67,22.270037012,4.8848788061,22.55,0.5560647862,0.909225298,19.5
-17,-14.5,Ohio,Ball St.,-15,,,,-14.05,,-23.51,-15.136,-13.09,-9.45,-20.4,-19.7,-22.9,-17,-10.79,-12.95,-16,-31.4,-16.5,,-11.16,-12.12,-11.24,-13.37,-17.83,-20,-10.8388,-16.8,,,-18,0,-18.86,-20.43,-17.23930859,,-11.52,-24.1247,,,,,-18.675,-17.9,,,-17.85,-17,-15.22,-25.876,-12.76,-13.61,-16.75832802,4.8130139314,-16.65,0.4611888598,0.1570610178,-14.5
6,6.5,Kansas St.,Baylor,5,,,,1.59,,7.59,11.168,2.51,10.899,7.7,5.9,7.3,1.7,5.98,1.04,2.5,4.2,3.6,,6.65,5.55,6.98,7.81,-3.13,-2,2.7453,5.24,,,7,0,8.68,2.37,8.054486592,,-1.68,-1.068,,,,,9.35,6.2,,,8.05,5,6.84,5.41,-0.91,8.43,4.8680218498,3.6907113255,5.725,0.471679692,0.6169850961,6.5
7.5,10,Eastern Mich.,Buffalo,11,,,,13.7,,20.19,7.125,9.4,10.982,13,12.1,14,7.4,10.38,9.16,15.5,-1.7,12.8,,11.95,12.83,12.81,11.48,13.86,9,4.5182,14.4,,,16,0,15.47,19.41,10.268731322,,10.99,5.254,,,,,4.575,13.8,,,9.1,10,9.79,11.937,7.12,4.37,10.943609203,4.3483434183,11.24,0.5163025354,0.7461582071,10
-3.5,-3,Duke,California,1,,,,-14.71,,-10.14,-3.204,-2.07,-3.432,-3.1,-5.7,-4.9,-0.6,-2.57,0.54,-1.5,-3.6,-3.5,,-0.34,-2.51,0.64,0.01,-10.76,-5,-2.9917,-6.75,,,-14,0,2.37,-8.07,-5.606998623,,-2.71,-4.7696,,,,,-6.7,-4.2,,,-3.15,-4,-4.7,-19.785,-3.55,-6.36,-4.622758295,4.6212959173,-3.525,0.4720432623,0.3902826746,-3
