lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,linecfp,linepig,linefidler,neutral,linel2,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineargh,lineround,lineavg,linestd,linemedian,phcover,phwin,lineca
4.5,6.5,Kent,Akron,7.5,5.98,2.03,,8.21,11.03,4.68,7.9,4.604,10.6,9.5,11.6,3.2,5.51,8.94,6.5,7.390265,3.4,7.5,10.78,11.22,11.5,10.63,6.46,6,4.7644,7.19,,,7.35,0,2.06382433,17.33,6.78,6.8556788203,,4.41,5.3691,9.742466006,,,,7.925,6.2,1.725665168,5.95,4,9.76,9.757,5.21,8,,,7.4394817038,3.024745512,7.27,0.5163818729,0.6767422006,6.5
7.5,6,Oklahoma,Alabama,10,,5.14,,7.76,9.58,10.021,9.91,10.031,7.9,8.3,8.6,8.3,6.45,10.68,8.5,6.67388,7.2,7.8,10.41,9.68,10.9,11.73,8.85,7,5.8884,6.96,,,9.94,0,7.255150888,8.18,6.45,7.396258416,,7.39,10.6202,15.433098886,,,,10.1,9.7,1.2031461712,6.5205,3,9.51,10.101,9.7,6,,,8.5417279309,1.6512692671,8.5,0.5445148047,0.7030184751,6.5
11,11.5,West Va.,Arizona St.,12.5,,12.95,,16.41,,11.884,11.6,18.884,18.5,17.4,18.2,15.9,11.81,11.66,16,14.45141,16.5,12.1,13.11,12.86,14.68,13.11,13.92,9,13.063,14.01,,,11.45,0,15.365626959,10.82,12.51,11.073698322,,11.98,14.1358,23.478208626,,,,23.325,12.7,2.5650676248,20.3,7,10.88,10.182,11.5,15.5,,,14.005908823,3.0508549727,13.0865,0.5436142977,0.8059687998,11.5
6,4.5,TCU,BYU,16.5,,9.93,,11.3,2.47,11.136,8.88,15.829,2.6,1.8,1.2,8.6,9.4,4.78,5,11.11959,5.3,6.9,8.55,6.32,8.51,11.59,11.66,9,6.7282,11.11,,,7.04,0,10.691999603,14.49,9.9,14.264833697,,8.35,5.4492,6.655211657,,,,-4.075,9.1,3.4855286768,12.6,8,14.59,10.422,7.09,15.5,,,8.7596364949,4.4036028616,9,0.5731649029,0.7018668532,5.5
-3,-2.5,Eastern Mich.,Ball St.,6.5,,0.46,,-3.14,-6.86,-0.855,1.18,5.041,-2.7,-3.2,-3.6,0.7,5.4,1.09,2,-2.019987,-1.9,-2.9,0.46,-1.02,4.03,-2.4,1.38,-1,-0.7234,1.53,,,-1.86,0,-0.121848775,-0.34,2.48,3.069440553,,3.22,-8.0526,15.879099262,,,,0.175,-1.3,0.833105268,6.65,1,2.33,-1.009,0.5,1.5,,,0.1203488405,3.1874167743,0.175,0.5455606644,0.5029540292,-2
-8.5,-8,Utah,Baylor,-11,,-15.87,,-17.58,-3.68,-2.695,-12.26,-9.427,-5.3,-6.5,-6.2,-16.3,-11.01,-9.24,8.5,-18.04378,-9.8,-10.3,-8,-7.48,-6.15,-13.59,-22.24,-24,-8.8036,-20.53,,,-9.13,0,-18.99980749,-22.07,-13.26,-12.86137956,,-17.05,-11.1524,-15.77202922,,,,-20.95,-13.2,-2.201810159,-11.2,-15,-11.49,-12.55,-12.08,-9,,,-11.85879403,6.268470776,-11.2,0.4348462645,0.2443270273,-8.5
-15.5,-17,Georgia Tech,Boston College,-22.5,,-18.4,,-20.66,-8.41,-14.982,-14.33,-21.631,-6,-13.3,-13.1,-14.7,-12.17,-11.21,-3,-15.17369,-22.5,-12.5,-12.92,-10.67,-17.03,-13.29,-18.09,-20,-14.4211,-18.3,,,-13.48,0,-18.09073823,-23.73,-10.63,-15.79055933,,-15.28,-17.823,-16.0753066,,,,-24.25,-14,-15.40653702,-31.717,-21,-20.6,-18.97,-11,-16.5,,,-15.92689968,5.3651170232,-15.17369,0.5183688995,0.1717896777,-17
1.5,2,Buffalo,Central Mich.,5,,4.65,,6.77,-3.76,3.898,2.23,9.279,-1.5,-0.5,-1.1,4.1,6.72,2.34,-7,4.735415,-1.5,5.6,5.46,3.77,4.73,8.47,4.72,7,1.9339,6.8,,,2.61,0,5.537908422,1.45,1.75,10.561386455,,6.67,1.6814,-7.178174342,,,,0.65,1.8,1.373612246,6.65,-2,9.33,9.903,3.49,5.5,,,3.8571797404,3.7876086452,4.65,0.5321982659,0.5930752313,2
-17.5,-18.5,Texas-San Antonio,Charlotte,-16.5,,-17.37,,-17.45,-20.82,-10.509,-13.07,-18.637,-15.5,-17,-18,-15.5,-11.19,-17.75,-6,-18.08092,-24.5,-17,-17.75,-18.15,-18.32,-19.83,-19.2,-18,-14.901,-19.63,,,-17.68,0,-21.05696342,-16.76,-16.07,-21.411806,,-12.03,-17.5559,-17.47101835,,,,-40.425,-19.8,-14.32081884,-13.9195,-17,-15.93,-16.43,-15.52,-12.5,,,-17.3781305,5.0502405602,-17.45,0.519261312,0.1492951275,-18.5
6.5,6.5,Arizona,Cincinnati,6.5,,1.18,,3.82,3.93,9.117,3.42,7.185,5.1,5.3,5.6,4.2,3.58,4.68,5.5,1.490158,4.8,4.6,6.58,4.69,7.15,8.47,0.72,-4,4.6166,0.37,,,4.87,0,1.051014521,1.01,3.7,3.793827371,,0.05,5.9028,-2.542795163,,,,-4.725,4.3,0.1026506956,6.65,1,7.21,6.134,3.45,5,,,4.0255230742,2.9427250265,4.6166,0.4569040274,0.5980817952,6
