lineopen,line,road,home,linehow,linedokter,linebihl,linemidweek,linekeep,lineargh,linecong,linebillings,lineharville,linebig200,linepiratings,linepimean,linepibias,linefei,linerwp,linemassey,lineclean,linecraig,linedonchess,linefluker,linesag,linesagpred,linesaggm,linesagr,lineversus,linedwig,linefpi,linetalis,lineround,linecfp,linepig,neutral,linepfz,linemoore,lineelo,lineborn,linelaz,linekam,linel2hf,linepayne,linepaynep,linepaynewl,linekerns,lineteamrank,linel2,linelog,linecons,lineloud,linecurry,linedunk,linewayward,linedoi,lineavg,linestd,linemedian,phcover,phwin,lineca
-9.5,-11,Miami (Ohio),Akron,-7.5,,-9.44,-11,-15.88,,-15.61,-6.839,-11.78,-6.914,-12.1,-12.7,-14.6,-13.2,0.75,-13.97,-15,-11.1,-8.1,-14.8,-7.06,-8.75,-4.55,-10.49,-10.17,-11,-11.6539,-9.81,,,-10,0,-4.43,-2.39,-4.871786965,,-3.52,-19.3352,,,,,-21.1,-11.4,,,-8.05,-8,-9.45,-17.49,-14.7,0.6,-10.22115492,5.0104344345,-10.33,0.5133796037,0.2703317286,-11
-1.5,-2.5,BYU,Arizona,-7.5,,-10.43,-2.5,-11.01,,-4.75,-5.994,-8.25,-16.55,-5.4,-4.1,-5.4,-7.9,-4.83,-5.94,-13.5,-4.1,-3.4,0.1,-1.86,-1.14,-3.52,-2.27,-9.66,-15,-5.3378,-11.07,,,-4,0,-2.91,-6.44,-9.663831257,,-4.63,-5.4684,,,,,5.45,-6.1,,,-7.574,-6,-6.72,-7.323,-3.91,-8.58,-6.228448191,4.1382573757,-5.7042,0.4357388419,0.3526172677,-3.5
17.5,17.5,Charlotte,Army,19,,32.17,17.5,23.02,,29.24,18.401,19.3,27.785,19.1,19.2,20.7,24.1,17.65,23.81,18,23.8,19,21.5,23.36,24.18,24.7,24.44,28.41,27,16.2078,28.52,,,20,0,20.14,22.29,24.574402319,,24.69,20.6375,,,,,39.45,22.3,,,22.05,11,19.41,20.623,25.33,23.72,23.100229008,4.5296003711,22.66,0.5956983729,0.9183744747,18.5
-3.5,-3.5,Georgia,Auburn,-9.5,,0.58,-3.5,-3.22,,-6.75,-0.602,-4.07,-4.162,-5.1,-5.4,-5.1,-10.5,-0.64,-8.46,-6.5,-2.8,-4.3,-6.4,-0.35,-0.93,-1.36,0.33,-6.11,-9,-3.5769,-1.39,,,-2,0,3.12,-6.15,3.588622287,,-3.82,-9.3327,,,,,-1.175,-3.8,,,-3.15,-3,-2.53,-6.029,-8.16,8.42,-3.587604677,3.9343585239,-3.81,0.4984811606,0.4135020346,-3.5
15.5,16.5,New Mexico,Boise St.,15.5,,3.79,16.5,17.02,,31.56,17.877,10.18,8.949,25.4,23.8,25.9,13.4,4.78,16.68,12.5,-5.8,14.5,16.2,18.76,18.04,16.46,25.15,6.51,7,9.3435,11.2,,,20,0,7.85,10.19,7.350878819,,4.52,9.9054,,,,,3.7,15.7,,,11.55,2,18.82,10.161,14.33,19.3,13.633599443,7.4577317559,13.865,0.4522017351,0.7807752843,16.5
-13,-14.5,Clemson,Boston College,-10.5,,-12.89,-14.5,-14.9,,-13.84,-10.783,-6.79,-20.139,-8.7,-13.5,-13.7,-13.9,-9.31,-10.07,-8,-13.8,-16,-16.5,-9.86,-10,-9.43,-13.74,-13.38,-12,-7.1368,-8.93,,,-16,0,-3.58,-11.53,-6.120225645,,-8.68,-16.1108,,,,,-24.3,-12.4,,,-14,-6,-15.48,-16.542,-14.2,-11.98,-12.33478489,3.9843305803,-12.645,0.5374700617,0.2263729471,-14.5
-8.5,-10.5,Toledo,Bowling Green,-4,,-5.24,-10.5,-19.22,,-14.25,-2.655,-6.55,-15.491,-9.1,-8.9,-8.1,-9.3,-6.35,-6,-3.5,-16,-7.9,-7.3,-5.6,-7.14,-3.44,-8.92,-15.7,-22,-6.4571,-5.38,,,-11,0,-16.28,-8.99,-5.492278062,,-11.02,-2.3677,,,,,-10.95,-12.3,,,-7.35,-14,-4.66,-1.078,-6.08,-0.76,-8.495291528,4.9928578246,-7.325,0.5344077416,0.305493577,-10
10.5,11,Central Florida,Cincinnati,11,,19.29,11,10.26,,17.13,15.783,8.62,21.443,3.7,4.7,3.4,7.9,14.7,4.46,0.01,16.1,8.8,8.8,12.81,9.89,14.63,15.42,13.86,-5,5.1425,6.79,,,14,0,12.2,4.81,16.298094014,,11.8,6.9653,,,,,12.325,10.9,,,18.9,10,15.84,13.49,10.85,23.04,11.080181421,5.935849103,11.4,0.5013649104,0.7426417663,11
-2,-3,Louisiana-Monroe,Coastal Carolina,4.5,,4.55,-3,7.05,,2.04,0.922,4.95,6.828,-3.7,-1.8,-2.9,5.6,0.91,6.37,5,-6.3,-1.4,2,4.51,6.19,5.4,1.27,8.55,-2,2.1378,3.95,,,2,0,-8.47,-1.58,5.25000479,,5.81,3.0484,,,,,11.125,3.3,,,-0.35,-5,-1.57,7.393,8.75,-1.78,2.5672159155,4.3255570381,3.1742,0.5953032064,0.561769648,-2
5,-3,Iowa St.,Colorado,-12,,-6.89,-3,-0.08,,-10.04,-6.536,-5.1,-4.834,-0.9,-2,-1,-5.1,-5.95,-6.51,5,-1.8,-4.3,-3.9,-2.53,-1.26,-4.32,-3.28,-4.83,-5,-3.1145,-1.18,,,-5,0,-9.89,-6.69,-2.355067825,,-1.38,0.7685,,,,,-4.075,-5.9,,,-10.15,-11,-5.52,-6.901,-5.96,-10.62,-4.50334389,3.4427914885,-4.832,0.4738648317,0.3911994735,-3
